Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Automation Risk 2020 (%),Automation Risk 2021 (%),Automation Risk 2022 (%),Automation Risk 2023 (%),Automation Risk 2024 (%)
Editorial assistant,IT,Increasing,High,30499.36,Associate Degree,20,1542,7193,43.09,12,China,48.8,0,5.71,5.25,6.98,10.1
Phytotherapist,Healthcare,Decreasing,High,95624.31,High School,10,6009,5832,57.97,49.68,Germany,49.45,42.14,47.66,54.13,50.29,50.11
Building control surveyor,IT,Decreasing,High,135404.18,Master’s Degree,3,3218,5189,31.77,18.18,USA,53.79,10.28,15.44,11.53,13.49,15.1
Consulting civil engineer,Entertainment,Increasing,High,130961.94,Bachelor’s Degree,5,1508,1044,35.27,93.25,Brazil,52.6,80.39,88.7,89.48,91.99,87.52
Housing manager/officer,Manufacturing,Decreasing,High,65693.09,PhD,18,5843,2012,12.48,71.13,China,54.35,59.03,59.84,69.15,70.37,76.42
Production manager,Manufacturing,Increasing,High,142984.81,PhD,18,5455,5586,87.17,25.52,Germany,63.46,22.98,18.36,19.92,24.61,24.56
"Designer, textile",Transportation,Increasing,High,62892.51,Master’s Degree,17,238,8163,36.64,71.58,UK,33.47,68.66,71.4,69.07,69.21,66.57
Medical sales representative,Retail,Increasing,High,102870.84,Bachelor’s Degree,5,6191,7348,44.6,95.22,Canada,65.49,85.11,93.36,86.36,91.23,89.04
IT trainer,IT,Decreasing,Low,93239.56,High School,8,3994,6851,57.91,35.9,USA,34.8,28.1,31.23,32.01,35.33,38.07
Arts administrator,IT,Increasing,Low,37944.09,Master’s Degree,9,5110,6440,77.12,71.09,USA,28.9,64.96,62.5,66.72,72.46,66.45
"Surveyor, mining",Entertainment,Increasing,Low,122281.06,Bachelor’s Degree,20,9617,2079,68.84,96.01,Australia,24.54,87.84,86.94,100,84.64,90.56
Architectural technologist,Retail,Increasing,Moderate,93845.59,Bachelor’s Degree,6,4532,8658,34.21,78.51,Germany,75.52,69.74,73.44,73.36,77.22,75.53
Retail banker,Entertainment,Decreasing,High,53768.31,PhD,3,6424,9121,47.95,32.48,India,61.87,23.51,26.12,25.55,32.42,34.52
"Investment banker, operational",Healthcare,Increasing,Low,71840.74,PhD,13,3254,8419,2.85,13.8,Canada,70.69,8.17,13.01,12.72,13.14,12.41
Radio producer,Finance,Increasing,Moderate,59032.27,Master’s Degree,9,3899,6182,18.04,43.2,Australia,29.68,35.22,41.03,42.28,41.12,37.55
"Accountant, chartered",IT,Decreasing,Low,96755.05,Master’s Degree,15,5089,3210,45.4,33.02,Australia,50.97,27.93,27.8,29.71,31.23,31.69
"Engineer, agricultural",Education,Decreasing,Moderate,70268.01,Associate Degree,13,5751,8051,55.85,38.67,Brazil,42.3,38.79,34.9,39.77,36.74,40.31
Insurance claims handler,Finance,Increasing,Moderate,32660,Associate Degree,0,2257,3233,16.8,85.38,USA,45.24,83.05,82.28,79.4,75.59,86.1
Garment/textile technologist,Manufacturing,Increasing,Low,66145.25,Associate Degree,9,9467,3336,8.93,55.07,USA,30.56,50.93,53.13,56.45,51.76,54.93
Control and instrumentation engineer,Education,Increasing,Moderate,53121.07,Bachelor’s Degree,8,625,9529,41.09,3.08,China,43,0,1.67,0.61,0,3.26
Bookseller,Entertainment,Decreasing,Low,124318.22,Master’s Degree,18,8392,7004,83.42,31.32,Canada,24.24,34.23,28.44,26.62,31.47,29.7
Site engineer,Retail,Increasing,Low,127241.52,Bachelor’s Degree,0,3734,6537,68.8,17.94,Germany,68.86,15.71,13.39,12.92,17.35,16.15
Secretary/administrator,Entertainment,Increasing,High,115904.26,High School,6,4232,6034,39.6,91.72,Brazil,41.35,82.3,90.62,85.83,90.98,88.04
Operational investment banker,Retail,Increasing,Low,141009.38,High School,20,6779,640,39.35,61,China,34.43,61.86,64.3,61.37,56.56,63.11
Child psychotherapist,IT,Decreasing,Moderate,39234.5,Associate Degree,8,933,2637,35.88,3.68,USA,43.6,0,0,0,0.02,2.57
"Scientist, research (maths)",Transportation,Increasing,Moderate,56596.63,Bachelor’s Degree,14,6523,6002,11.04,2.74,Brazil,72.3,0.73,0,0,0,1.19
"Embryologist, clinical",Manufacturing,Increasing,Low,144485.62,PhD,16,172,9775,31.7,94.21,China,24.01,98.13,89.82,90.72,88.16,96.85
Scientific laboratory technician,Education,Decreasing,Low,74946.55,Master’s Degree,18,9623,304,76.15,20.77,China,36.84,20.25,22.24,21.32,19.79,23.61
"Accountant, chartered certified",Finance,Increasing,Moderate,104824.24,Associate Degree,19,8028,9841,64.31,7.18,Germany,22.34,3.43,2.61,4.27,1.97,6.48
Leisure centre manager,Retail,Increasing,Moderate,121396.35,High School,19,4212,6881,62.62,62.68,China,28.3,58.53,58.85,61.56,57.75,69.61
Clinical research associate,IT,Increasing,High,81203.72,PhD,7,5191,8641,59.69,51.97,Brazil,21.49,44.53,46.34,48.29,51.11,50.41
Tour manager,Finance,Increasing,Low,121167.2,PhD,1,3887,9853,77.69,68.38,Brazil,31.88,62.14,59.5,69.65,68.73,63.17
Fitness centre manager,Entertainment,Increasing,Moderate,106694.07,PhD,7,3006,6720,35.56,29.04,China,25.49,20.96,20.74,25.33,29.79,24.55
"Administrator, sports",Finance,Increasing,Moderate,131526.78,Bachelor’s Degree,19,9740,790,12.09,98.08,USA,28.49,92.44,86.54,88.02,92.63,100
"Education officer, museum",Entertainment,Decreasing,Low,140282.93,PhD,15,275,2972,98.13,95.04,India,52.95,88.05,86.14,90.57,91.34,93.25
"Journalist, newspaper",Entertainment,Decreasing,High,66006.49,PhD,5,9699,7424,16.78,35.29,India,31.75,27.08,28.64,32.41,32.61,31.43
Electronics engineer,Entertainment,Increasing,High,30816.38,Master’s Degree,4,597,6796,8.47,67.71,Canada,22.28,63.24,70.32,65.27,69.27,64.48
Armed forces technical officer,Transportation,Increasing,Moderate,34604.47,High School,17,9601,8580,13.18,28.95,Canada,23.33,24.14,22.32,20.28,25.22,26.92
Horticultural consultant,Manufacturing,Increasing,Low,67178.44,High School,11,3968,2737,49.46,72.94,China,74.18,65.88,69.89,66.7,78.76,67.69
Television production assistant,Finance,Decreasing,Moderate,124038.9,Associate Degree,0,5224,7277,16.59,15.87,Germany,45.01,8.17,9.81,14.1,14.84,14.73
Land/geomatics surveyor,Entertainment,Decreasing,Low,60089.03,High School,4,5436,8875,69.84,95.45,China,72.8,89.1,80.79,89.53,94.21,92.95
"Programmer, multimedia",Manufacturing,Decreasing,Low,105103.83,Master’s Degree,8,4458,6618,40.96,73.98,USA,70.59,75.27,73.5,69.73,75.36,67.88
"Runner, broadcasting/film/video",Transportation,Decreasing,Low,53030.67,High School,14,8340,1571,53.69,49.48,India,21.56,46.79,49.61,49.08,46.31,51.16
Contracting civil engineer,Education,Decreasing,High,31803.11,Master’s Degree,4,7845,8733,14.25,63.51,Brazil,50.81,54.29,56.97,58.31,56,66.42
Forest/woodland manager,Manufacturing,Decreasing,Moderate,81711.01,Master’s Degree,3,3108,444,49.55,55.45,Brazil,40.08,56.13,51.57,56.89,50.63,53.24
Advertising art director,Retail,Decreasing,Low,36332.32,High School,20,2194,5150,10.74,99.91,Germany,47.34,95.04,92.33,100,98.24,97.05
Quarry manager,Healthcare,Decreasing,High,86292.55,PhD,14,8522,2453,68.12,79.61,China,26.4,76.03,79.92,75.72,86.77,81.54
"Therapist, sports",Manufacturing,Increasing,High,121344.31,Master’s Degree,11,7356,3798,80.04,84.27,UK,39.86,80.29,80.41,88.69,83.48,82.75
Advertising account planner,Entertainment,Decreasing,Low,38394.05,Bachelor’s Degree,13,1786,2002,96.55,61.28,USA,34.34,54.77,59.56,61.09,65.61,59.89
Office manager,Healthcare,Increasing,Low,78660.06,Master’s Degree,8,567,4923,21.68,14.06,Canada,70.81,12.41,11.83,13.93,14.45,12.62
"Librarian, academic",Finance,Increasing,High,54093.38,Bachelor’s Degree,12,3602,146,13.16,40.44,China,38.21,32.79,34.47,36.64,40.15,43
Contracting civil engineer,Transportation,Increasing,Low,89949.62,Associate Degree,2,390,3008,77.01,48.87,China,47.87,41.12,48.87,43.97,49.16,49.08
Production engineer,Entertainment,Increasing,Low,105024.5,PhD,11,5750,9214,38.97,85.25,Canada,78.34,79.2,88.67,81.29,87.84,84.7
Civil Service administrator,Transportation,Decreasing,High,144800.84,Bachelor’s Degree,2,3204,9832,66.98,68.6,Australia,29.85,56.28,62.96,67.1,64.92,64
Freight forwarder,Finance,Increasing,Moderate,34000.11,Associate Degree,16,4811,5426,23.36,47.44,India,34.88,43.2,41.86,43.59,41.2,50.51
Air cabin crew,Healthcare,Increasing,Moderate,85537.98,Bachelor’s Degree,13,7870,4480,53.2,46.29,USA,56.8,47.84,42.64,42.44,52.01,46.46
Television production assistant,Manufacturing,Decreasing,High,136863.04,Bachelor’s Degree,6,2281,9325,53.91,2.62,Australia,70.23,0,0,0,2.41,5.23
Environmental education officer,Healthcare,Decreasing,Low,102079.92,High School,20,587,6042,55.44,90.93,UK,48.82,88.69,92.23,87.78,84.77,90.79
Accounting technician,Transportation,Increasing,Moderate,53316.63,Associate Degree,15,6460,9144,81.05,2.33,USA,79.11,0,2.32,0.97,0.83,0
Exhibition designer,Entertainment,Increasing,Low,36490.19,Associate Degree,16,8586,6274,31.03,43.53,Canada,70.52,40.32,36.76,43.61,45.53,42.95
Diagnostic radiographer,Finance,Increasing,Moderate,127617.48,Bachelor’s Degree,12,6170,5238,3.69,43.9,China,77.75,33.29,34.77,35.67,39.25,39.34
"Programmer, systems",Entertainment,Increasing,High,38149.53,PhD,5,5289,650,45.98,93.5,UK,24.36,84.36,94.64,86.92,88.01,92.7
"Designer, multimedia",Retail,Increasing,Low,106853.93,Bachelor’s Degree,8,5216,7659,27.16,36.41,China,56.8,34.94,36.76,39.35,33.33,35.28
"Engineer, maintenance",Manufacturing,Increasing,Moderate,68931.74,High School,5,1428,4152,24.8,13.04,Germany,77.63,5.25,7.58,10.12,10.03,10.65
Electrical engineer,Retail,Increasing,Moderate,55782.97,High School,19,3302,9836,52.99,74.14,China,30.93,66,73.69,66.08,77.89,69.13
"Sound technician, broadcasting/film/video",IT,Decreasing,Moderate,130305.44,PhD,18,4110,7059,81.94,22.58,Australia,49.8,18.42,13.56,15.28,20.02,21
Pharmacologist,Entertainment,Increasing,High,145760.04,Master’s Degree,10,5156,4338,90.68,29.59,Australia,20.39,24.99,22.09,24.8,26.89,29.57
"Journalist, broadcasting",IT,Decreasing,Low,54074.97,Associate Degree,8,2908,9865,98.67,36.94,China,44.2,32.88,34.8,37.12,34.52,39.74
Early years teacher,IT,Decreasing,Moderate,117054.5,PhD,6,3469,2222,19.62,18.93,Canada,47.05,11.11,13.2,15.18,16.05,18.95
Medical laboratory scientific officer,Transportation,Increasing,High,122952.78,Associate Degree,7,7538,5130,58,27.61,Australia,35.25,21.93,18.96,19.82,25.77,24.28
"Designer, industrial/product",Transportation,Increasing,Low,80845.24,Bachelor’s Degree,13,2719,8299,62.04,54.77,Brazil,78.77,52.74,46.8,52.39,51.09,55.61
Computer games developer,Transportation,Decreasing,Moderate,45982.1,PhD,20,9094,4584,32.18,53.37,Canada,46.83,44.75,51.03,53.67,52.78,53.33
Jewellery designer,IT,Decreasing,High,73081.54,Bachelor’s Degree,5,2829,8587,72.29,75.1,USA,70.49,68.94,70.41,62.26,75.24,78.91
Biomedical engineer,Transportation,Decreasing,Low,113703.67,Bachelor’s Degree,15,5479,1992,48.44,5.17,UK,33.51,2.63,0.09,1.02,0.07,6.2
Accounting technician,Manufacturing,Decreasing,High,55631.79,PhD,19,6431,4801,25.43,34.23,India,51.68,32.31,31.19,33.11,31.36,34.53
Health and safety adviser,Education,Decreasing,Low,98277.61,High School,16,751,8794,5.91,82.75,Brazil,27.24,80.86,82.39,82.62,84.74,78.78
Local government officer,Finance,Increasing,Low,135798.26,PhD,0,9259,7906,84.28,80.33,Australia,35.74,71.32,82.59,82,81.15,79.77
"Restaurant manager, fast food",Transportation,Increasing,High,105549.17,Master’s Degree,14,9719,7481,54.11,60.63,Germany,77.7,50.8,56.96,53.7,61.46,55.16
Tour manager,Healthcare,Increasing,Low,129827.92,Bachelor’s Degree,2,4853,8729,54.15,65.49,Canada,66.65,63.39,66.05,65.68,67.98,61.84
English as a foreign language teacher,Entertainment,Decreasing,Low,47494.55,Associate Degree,6,9424,4848,8.32,75.88,UK,62.43,74.66,71.87,74.33,67.43,79.16
Chiropractor,Retail,Decreasing,High,111257.91,Associate Degree,12,7780,2460,63.5,27.14,China,58.47,18.98,23.19,26.75,29.91,27.76
"Education officer, community",Entertainment,Increasing,High,90530.23,Associate Degree,16,4016,5508,76.95,9.94,India,62.36,4.45,6.3,5.16,7.35,10.19
Fitness centre manager,Transportation,Increasing,Low,108198.31,Master’s Degree,11,8203,1312,50.86,16.74,Germany,54.97,12.81,10.17,17.12,16.76,13.73
Cartographer,Manufacturing,Decreasing,High,34030.56,PhD,12,1142,9678,92.32,20.92,Australia,78.46,13.24,17.45,25.46,18.97,18.67
Colour technologist,Entertainment,Decreasing,Low,109575.23,Bachelor’s Degree,9,9366,8497,37.41,57.38,Canada,78.15,48.05,55.74,57.46,54.86,56.15
"Engineer, mining",Finance,Decreasing,Moderate,140535.77,Bachelor’s Degree,10,3058,8203,26.6,39.93,UK,43.38,33.12,32.43,33.72,30.11,35.82
Brewing technologist,Healthcare,Increasing,Moderate,44447.86,High School,7,785,2686,4.62,11.6,Australia,35.95,9.33,7.46,10.58,7.23,11.69
Historic buildings inspector/conservation officer,Finance,Increasing,Moderate,60531.42,Bachelor’s Degree,3,3577,1427,54.54,39.01,Canada,58.29,31.37,32.46,38.9,30.36,39.28
Network engineer,Healthcare,Increasing,High,30604.02,Master’s Degree,17,2202,2955,66,93.69,Canada,50.42,93.19,89.19,85.25,92.43,90.92
IT sales professional,Transportation,Increasing,High,62886.39,Associate Degree,8,483,7213,58.27,25.36,USA,52.08,21.2,22.13,21.46,20.34,23.79
Conference centre manager,Manufacturing,Increasing,Moderate,39808.98,PhD,0,6350,9459,3.32,62.17,India,73.89,58.66,58.51,58.96,58.52,57.11
Dramatherapist,Healthcare,Increasing,High,76740.84,Master’s Degree,20,5770,1080,91.7,31.53,Canada,43.07,27.05,28.74,29.38,29.86,26.08
Community arts worker,Finance,Increasing,Moderate,80136.83,Master’s Degree,10,1525,1446,24.85,16.86,Germany,36.64,9.27,14.45,14.66,14.14,15.8
Accounting technician,Finance,Decreasing,High,114843.34,High School,10,8033,745,2.35,85.55,Canada,20.33,73.21,74.95,78.04,81.15,81.8
Osteopath,Finance,Decreasing,Low,135083.46,PhD,3,3685,4372,27.48,81.35,Brazil,61.06,77.69,78.2,79.66,72.07,90.6
Tax inspector,Healthcare,Increasing,Moderate,99876.29,Associate Degree,14,5673,6266,58.49,89.79,China,68.34,88.01,85.88,86.3,88.57,87.21
Psychiatrist,IT,Decreasing,High,143653.44,Master’s Degree,3,9023,6284,80.67,13.94,UK,67.68,2.72,5.98,9.72,9.86,12.34
Recruitment consultant,Retail,Decreasing,Low,97495.41,PhD,15,2940,6738,93.58,77.72,Germany,71.89,78.34,78.31,82.33,70.63,73.57
Surgeon,Finance,Increasing,High,64688.9,Master’s Degree,6,1936,6539,37.62,4.23,China,41.32,0,0,0,2.19,4.9
"Geologist, engineering",Finance,Increasing,High,140448.37,Bachelor’s Degree,17,9218,729,82.13,63.37,Canada,22.88,56.89,63.55,55.88,62.95,64.08
Public affairs consultant,Entertainment,Decreasing,Moderate,39308.55,Associate Degree,3,225,6192,5.4,61.67,Brazil,75.29,57.32,57.33,57.75,62.45,62.27
"Psychotherapist, dance movement",Healthcare,Increasing,High,63557.3,High School,13,9191,9216,52.9,73.97,UK,73.79,71.31,72.85,71.38,75.35,70.64
Rural practice surveyor,Transportation,Increasing,Moderate,87129.35,PhD,1,5724,297,6.49,92.81,Brazil,50.65,88.28,88.66,88.93,91.15,89.31
Hydrographic surveyor,Entertainment,Increasing,Low,68801.16,Associate Degree,1,9771,1089,27.28,9.54,Germany,30.9,10.63,8.85,9.53,9.27,10.56
Chartered loss adjuster,Finance,Increasing,High,55510.37,High School,19,4240,7574,53.19,49.2,Brazil,59.51,44.21,42.18,43.69,43.74,49.75
"Radiographer, diagnostic",Retail,Decreasing,High,130685.43,Bachelor’s Degree,12,6042,1477,96.79,41.5,Australia,76.91,31,37.9,37.09,34.67,41.1
"Surveyor, building control",Manufacturing,Decreasing,Moderate,36606.93,High School,13,6243,2206,68.6,58.33,USA,65.24,53.45,56.45,54.26,52.04,57.03
Financial adviser,Education,Decreasing,Moderate,87067.53,Associate Degree,13,7089,8429,19.35,94.72,Australia,57.62,88.45,84.63,96.91,91.08,93.61
"Administrator, charities/voluntary organisations",Education,Increasing,High,36830.02,Master’s Degree,4,7011,6308,26.08,86.15,Australia,73.91,73.88,81.81,87.06,76.52,84.92
Broadcast journalist,Education,Decreasing,Low,99292.36,PhD,3,4978,5594,88.46,24.08,China,46.54,20.75,24.31,21.97,24.42,25.12
Clothing/textile technologist,Entertainment,Increasing,Moderate,55070.1,Master’s Degree,2,3696,6249,40.94,20.5,Australia,65.96,14.79,17.54,16.96,19.23,17.49
Medical technical officer,Entertainment,Decreasing,Low,124624.11,High School,1,4200,6115,83.52,32.16,Australia,44.31,26.33,26.49,30.71,33.73,33.83
"Scientist, audiological",Entertainment,Increasing,High,104808.32,Master’s Degree,10,141,9819,8.18,5.88,Australia,65.93,0,0.41,3.35,5.49,0.96
Technical sales engineer,Manufacturing,Increasing,Low,114796.56,High School,17,7579,4249,62.21,46.59,Germany,41.82,42.32,44.8,44.79,45.26,51.55
Counsellor,Retail,Increasing,Low,149573.27,PhD,2,2463,1838,57.56,15.95,Australia,70.29,11.14,12.21,12.16,11.55,14.01
Chartered certified accountant,IT,Increasing,Moderate,122446.07,PhD,4,6920,4011,81.67,84.7,Australia,68.68,73.34,77.51,83.71,78.94,86.58
Academic librarian,IT,Increasing,Moderate,123302.56,PhD,19,4081,4869,84.88,2.48,Germany,77.14,0,0,0,0.79,0.42
Customer service manager,Transportation,Decreasing,Moderate,59766.74,High School,16,4492,5725,23.45,3.1,Australia,41.37,0,0,0.83,1.01,3.3
TEFL teacher,IT,Increasing,High,85068.59,High School,16,2265,8710,62.44,92.65,Australia,77.07,82.12,87.2,88.44,86.06,96.56
Academic librarian,IT,Increasing,Low,115183.86,Master’s Degree,2,6146,6497,96.34,49.29,USA,55.69,46.83,41.97,48.13,46.24,50.54
Historic buildings inspector/conservation officer,IT,Increasing,High,48264.53,Bachelor’s Degree,19,8396,3499,83.72,57.25,China,53.17,50.99,51.21,55.2,55.18,53.96
Archaeologist,IT,Increasing,High,79086.93,PhD,18,8564,1133,13.54,66.82,UK,67.84,49.7,54.97,58.87,64.63,60.4
Armed forces operational officer,Entertainment,Decreasing,Moderate,42367.06,Master’s Degree,13,5942,5789,71.63,8.1,Australia,46.61,0.68,3.33,4.53,6.23,9.27
"Designer, industrial/product",IT,Decreasing,High,113229.43,Bachelor’s Degree,18,301,9811,82.16,29.82,China,54.4,18.8,21.6,26.01,23.67,30.58
Museum/gallery exhibitions officer,Manufacturing,Increasing,Moderate,74049.38,Associate Degree,4,2068,7336,6.31,45.37,Canada,75.36,38.46,40.87,40.84,48.17,44.82
Air cabin crew,Manufacturing,Increasing,High,59558.77,High School,7,6489,6364,85.07,42.66,Brazil,51.5,36.88,35.13,42.72,42.79,39.69
Special effects artist,Transportation,Decreasing,Moderate,121527.2,Master’s Degree,19,8715,5376,93.1,36.43,China,53.45,31.45,33.4,34.24,33.14,39.32
Outdoor activities/education manager,Education,Decreasing,Low,51664.75,Bachelor’s Degree,13,5037,8297,71.25,9.28,Canada,21.99,7.11,7.52,9.95,9.86,10.53
Chartered loss adjuster,Education,Increasing,Low,122576.76,Master’s Degree,13,1108,3408,6.34,69.89,Brazil,27.59,74.91,66.05,69.34,66.28,67.61
Higher education careers adviser,Manufacturing,Increasing,Moderate,109748.75,Bachelor’s Degree,8,4718,1904,74.31,23.68,USA,55.83,17.91,20.29,23.05,21.28,23.2
Catering manager,Finance,Increasing,Moderate,31640.46,Bachelor’s Degree,11,7829,9528,37.91,54.3,Australia,57.43,45.5,47.16,46.39,50.79,52.59
Database administrator,Healthcare,Increasing,High,74110.17,Associate Degree,19,3192,5521,23.67,71.16,China,75.87,67.07,65.27,69.95,68.82,67.3
"Research officer, political party",Healthcare,Increasing,High,58727.94,Associate Degree,9,8402,2254,96.8,28.04,Australia,77.08,24.38,25.07,25.36,29.04,28.14
Agricultural engineer,Healthcare,Decreasing,Moderate,31809.49,PhD,2,6032,3662,92.84,61.53,UK,42.05,67.33,57.65,59.96,56.45,59.26
Chief Operating Officer,Entertainment,Increasing,Low,145452.22,Associate Degree,5,2407,1448,62.65,20.04,Brazil,70.09,12.56,18.25,19.92,18.05,15.85
"Merchandiser, retail",Manufacturing,Increasing,High,112337.47,High School,20,4192,9570,11.53,37.87,USA,44.55,38.31,32.55,33.48,37.8,34.25
Therapeutic radiographer,Healthcare,Increasing,Moderate,136268.55,PhD,8,9465,1655,58.47,49.24,Canada,53.19,44.08,48.86,51.29,47.26,44.39
Psychotherapist,Transportation,Increasing,High,64295.42,High School,15,5645,7595,97.97,31.29,Germany,20.73,27.07,20.36,28.58,25.42,29.1
Art therapist,Healthcare,Increasing,Low,140093.25,High School,20,1446,2038,29.64,9.92,Brazil,42.54,8.37,6.49,7.84,8.28,9.29
"Engineer, control and instrumentation",Transportation,Increasing,High,119306.99,Associate Degree,8,3561,3178,63.72,94.27,USA,35.38,88.49,89.06,90.48,96.31,99.2
Personnel officer,Manufacturing,Increasing,High,135029.54,Bachelor’s Degree,4,8591,2695,55.21,49.72,UK,61.85,45.92,46.41,42.02,40.5,47.64
"Teacher, special educational needs",Manufacturing,Decreasing,Moderate,102653.29,Associate Degree,4,2365,8680,58.68,31.94,Brazil,51.53,31.71,28.12,31.29,29.84,31.53
Exhibition designer,Manufacturing,Increasing,Moderate,81228.64,Master’s Degree,16,8618,8768,88.92,4.11,Australia,62.91,0,2.14,1.75,1.24,0.74
Outdoor activities/education manager,Finance,Decreasing,High,58355.27,Associate Degree,18,9730,9185,12.28,96.92,Brazil,23.06,92.49,92.32,93.15,89.95,98.71
Firefighter,Healthcare,Increasing,Low,130686.4,Associate Degree,5,5067,6926,38.87,39.88,Australia,31.01,35.85,40.65,36.1,35.7,39.41
Fashion designer,Retail,Decreasing,Moderate,120106.38,PhD,14,8149,9489,49.76,16.81,Canada,20.31,13.64,14.79,14.5,17.32,16.45
"Engineer, materials",Retail,Increasing,Moderate,53150.99,Master’s Degree,7,7496,9271,33.36,95.33,Canada,53.08,91.23,81.54,88.09,98.14,90.32
Insurance risk surveyor,Transportation,Increasing,Moderate,32108.22,Bachelor’s Degree,6,7500,5831,49.46,95.68,UK,33.35,89.44,89.92,88.15,90.96,94.47
Hospital doctor,Healthcare,Increasing,Low,40574.9,High School,8,6876,9360,5.11,31.53,Germany,54.62,26.56,28.98,28.55,30.94,33.28
Careers adviser,Finance,Increasing,High,129406.93,Master’s Degree,15,8152,5866,1.36,38.47,Germany,70.38,34.32,32.46,31.11,39.11,37.95
Cabin crew,Healthcare,Increasing,Moderate,78301.22,High School,18,2446,5413,50.07,58.43,Canada,60.98,53.59,54.95,54.46,59.58,61.02
"Nurse, children's",Education,Increasing,Low,59598.89,Bachelor’s Degree,5,8020,1923,90.54,87.94,India,23.94,87.57,91.06,86.62,96.97,87.06
"Geneticist, molecular",Transportation,Increasing,Moderate,37123.81,Bachelor’s Degree,12,5755,4541,43.46,82.36,Canada,38.33,69.68,81.99,77.76,84.62,82.52
Site engineer,Transportation,Increasing,Low,130553.5,Bachelor’s Degree,0,1403,4296,86.73,19.11,UK,56.96,14.19,16.11,13.98,16.13,19.09
Pension scheme manager,Transportation,Increasing,Low,109226.6,Associate Degree,4,2780,6399,18.89,71,Brazil,51.38,70.26,71.07,66.64,73.48,70.39
"Geologist, wellsite",Retail,Decreasing,Moderate,112968.69,Bachelor’s Degree,13,8975,1808,78.54,74.88,Brazil,28.82,72.59,75.3,73.1,69.62,78.4
Research scientist (physical sciences),Manufacturing,Decreasing,Low,73546.83,Master’s Degree,3,3137,2774,17.77,43.21,Canada,43.19,41.63,42.13,38.18,45.43,43.85
"Programmer, applications",Healthcare,Increasing,High,73245.51,Master’s Degree,11,9796,1131,0.65,21.88,Australia,53.63,15.06,18.29,19.37,20.44,20.66
"Librarian, academic",Education,Increasing,Low,82467.7,Bachelor’s Degree,20,3154,9696,27.2,13.1,Brazil,50.36,11.38,13.51,11.92,11.35,13.03
Patent attorney,Retail,Increasing,High,92555.53,Bachelor’s Degree,8,5194,612,1.22,21.35,Germany,29.47,17.85,18.26,12.88,16.22,16.33
Printmaker,Entertainment,Decreasing,Low,77054.6,PhD,13,9379,3569,36.97,48.14,Australia,27.15,45.9,48.55,45.88,47.11,44.56
Environmental health practitioner,Retail,Increasing,High,78337.34,Associate Degree,12,7144,4632,45.83,16.03,Australia,75.54,12.36,9.82,14.69,12.49,18.08
Passenger transport manager,Healthcare,Decreasing,Low,90325.07,PhD,12,6162,2855,43.02,65.87,Australia,73.91,58.87,60.54,68.7,69.03,64.51
"Engineer, energy",Retail,Decreasing,Moderate,84482,High School,7,5138,8935,10.13,60.66,USA,52.21,51.65,48.77,62.6,60.25,60.29
Television production assistant,Manufacturing,Decreasing,Moderate,139715.57,Bachelor’s Degree,20,3102,828,37.91,59.69,India,31.55,53.41,55.22,60.14,54.4,61.69
Soil scientist,Education,Decreasing,Moderate,98637.53,PhD,14,2331,1523,22.17,59.19,Canada,52.5,58.81,62.39,59.45,61.06,54.04
"Engineer, energy",Transportation,Increasing,Low,148367.51,Bachelor’s Degree,11,7267,7218,24.91,89.81,China,37.58,85.33,86.6,89.29,88.89,93.32
Quantity surveyor,Manufacturing,Decreasing,Low,128069.05,Bachelor’s Degree,1,574,2012,51.47,89.44,India,45.64,87.22,83.56,83.51,94.66,90.07
"Education officer, museum",Retail,Decreasing,High,105312.64,Master’s Degree,10,692,5409,40.55,63.59,China,55.18,58.17,59.79,60.76,60.21,64.48
Osteopath,Retail,Decreasing,Moderate,142478.74,High School,10,8627,9046,40.59,96.34,India,56.92,96.3,96.47,93.45,89.92,89.77
Purchasing manager,Healthcare,Increasing,Moderate,83555.82,Associate Degree,16,8199,5232,48.37,30.11,Canada,38.42,29.42,26.55,28.67,26.81,29.99
Careers information officer,Entertainment,Decreasing,Low,142547.36,High School,11,5903,5104,16.45,30.86,India,31.31,30.07,31.21,25.39,31.17,28
Naval architect,Education,Increasing,High,122992.43,High School,18,5254,2085,83.87,85.75,Brazil,33.29,89.66,91.06,85.35,84.86,84.33
Hydrographic surveyor,Transportation,Decreasing,Moderate,74156.7,High School,7,6901,3767,40.3,58.35,USA,79.82,58.17,54.87,56.31,55.6,57.49
Occupational hygienist,IT,Increasing,Low,114786.83,Associate Degree,11,6150,2682,79.81,35.44,Germany,74.16,31.54,32.35,34.59,33.95,34.02
"Engineer, biomedical",Retail,Increasing,High,56342.86,Associate Degree,8,3914,2534,86.85,44.7,Canada,49.53,39.77,40.67,39.16,36.37,40.78
Chief Strategy Officer,Retail,Increasing,High,40459.55,PhD,5,4287,6745,17.56,47.43,UK,33.38,37.93,45.35,41.19,49.26,44.08
Clinical cytogeneticist,IT,Increasing,Low,140330.52,PhD,7,7948,8529,20.79,58.18,India,45.36,54.89,60.19,56.99,62.34,54.06
Television production assistant,Finance,Increasing,Low,34252.47,Associate Degree,18,7060,1336,38.37,54.38,India,51.23,53.92,48.81,54.95,52.52,54.3
